system:index,LST_C,NDBI,NDVI,NDWI,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,latitude,longitude,.geo
3051,36.67125901999998,-0.3018951638461051,0.806202861298069,-0.7587006349289988,0.024867499999999987,0.045795,0.0358125,0.333775,0.1789775,0.07169999999999999,8.792934579782907,-75.90975254901726,"{""type"":""Point"",""coordinates"":[-75.90970165806449,8.792983493795328]}"
3052,41.162537300000054,-0.2025326893627047,0.7039676843212205,-0.614445446062849,0.020384999999999986,0.06094749999999999,0.0443375,0.25520750000000003,0.16924250000000002,0.072635,8.709121763774556,-75.81812439003706,"{""type"":""Point"",""coordinates"":[-75.81820730754059,8.70914464033927]}"
3053,27.99632426000005,-0.48366031401362947,0.8318394966462872,-0.7547869845195958,0.018157499999999993,0.06468750000000001,0.042495000000000005,0.462915,0.16110249999999998,0.07301999999999997,8.690257142808045,-75.7124825126246,"{""type"":""Point"",""coordinates"":[-75.71253279106776,8.690324328475944]}"
3054,30.136004780000007,-0.250097194808302,0.7697840203648526,-0.6952721816098713,0.031192499999999984,0.07513750000000002,0.05437500000000001,0.41800750000000003,0.2507525,0.11875249999999998,8.768949561696916,-75.71895038267027,"{""type"":""Point"",""coordinates"":[-75.71893631947766,8.768881766958808]}"
3055,37.35828104000001,-0.1169029884765865,0.6728909260391741,-0.6410590935035586,0.036775,0.07703500000000002,0.06886750000000003,0.3522,0.2784725,0.14694000000000002,9.059734219166405,-75.49203594190168,"{""type"":""Point"",""coordinates"":[-75.49208834116675,9.059678037043065]}"
3056,37.63514066000005,-0.030320515569625728,0.6421935684324995,-0.6187361031992502,0.04106499999999999,0.07780500000000001,0.07197500000000001,0.3303375,0.310895,0.1608,9.265897576871835,-75.66532096020833,"{""type"":""Point"",""coordinates"":[-75.66535879937028,9.265967010267643]}"
3057,35.75693867000001,-0.3119196185954702,0.8321584952596108,-0.7573766979370323,0.025499999999999995,0.06228125000000001,0.04132625000000001,0.4511175,0.23660375,0.09955750000000002,8.557665806872004,-76.23260706212982,"{""type"":""Point"",""coordinates"":[-76.23258831938978,8.55777762221893]}"
3058,41.97773507000002,-0.2544890535036941,0.7713601241136209,-0.7153975404070299,0.036953749999999994,0.06701125,0.052133750000000006,0.4039,0.2400275,0.10526374999999999,8.559013279798183,-76.01512493184447,"{""type"":""Point"",""coordinates"":[-76.015153806954,8.558886572230898]}"
3059,39.73038692,-0.15269880613560358,0.5410596780057559,-0.5429438391450412,0.08554625000000002,0.10280249999999999,0.10335250000000001,0.34704375,0.2550975,0.147765,8.613451186015826,-76.13451103310396,"{""type"":""Point"",""coordinates"":[-76.13448589201768,8.613411370870374]}"
3060,21.55506557000001,-0.09523363404405405,0.28129664073857974,-0.28491881975480243,0.2318325,0.27650625000000006,0.2786925,0.49685,0.410445,0.29527500000000007,8.620727539817194,-75.79791229614437,"{""type"":""Point"",""coordinates"":[-75.79780648897862,8.620647017135209]}"
3061,41.318057210000035,0.009729047122134906,0.5907906605807907,-0.6218714599787648,0.03761375,0.059874999999999984,0.0660625,0.25681624999999997,0.2618625,0.13580250000000002,8.87270497701272,-76.08195958898297,"{""type"":""Point"",""coordinates"":[-76.08196011515071,8.872712802359654]}"
3062,38.28627347,-0.23354233585492717,0.740294457040469,-0.7051101774599955,0.028401250000000003,0.06488,0.05598375,0.37514875,0.23309749999999999,0.1106125,8.7635596699922,-75.98278558161617,"{""type"":""Point"",""coordinates"":[-75.9829062699746,8.763570183045973]}"
3063,42.27510280999999,-0.12901455702132028,0.6802855008714417,-0.6741109229466553,0.02983124999999999,0.061579999999999996,0.06019125,0.31634,0.2440425,0.12284999999999999,8.86488963404088,-75.98036013034906,"{""type"":""Point"",""coordinates"":[-75.98033799512513,8.864847611535653]}"
3064,30.453880640000023,-0.27645465343827175,0.768417064753482,-0.7301141463923139,0.019807500000000006,0.058252499999999985,0.04890249999999999,0.37343,0.211675,0.10382000000000002,9.244607504638202,-75.43166915480884,"{""type"":""Point"",""coordinates"":[-75.43165669900446,9.244511462982516]}"
3065,36.36705524000001,-0.21446818157895803,0.728010829337135,-0.707027282323251,0.037517499999999995,0.06435750000000001,0.059022500000000006,0.37498375,0.24254375,0.12308374999999999,9.100427901537019,-75.83591103266262,"{""type"":""Point"",""coordinates"":[-75.83602203424914,9.100506564360874]}"
3066,35.43393578000001,-0.23771655074538553,0.7619271999057604,-0.6921980359324795,0.017194999999999988,0.06801499999999999,0.05052499999999999,0.373925,0.2302925,0.103435,9.286918154520231,-75.82486175466796,"{""type"":""Point"",""coordinates"":[-75.82476941577578,9.286893955297833]}"
3067,32.73711800000001,-0.09840107064872866,0.6835809293487648,-0.6391960644157592,0.03168750000000001,0.06435750000000001,0.054952500000000015,0.2923875,0.24,0.13877250000000002,9.19205606051721,-75.48853251229362,"{""type"":""Point"",""coordinates"":[-75.48848326285245,9.192123599540853]}"
3068,42.72457244,0.14022684292707055,0.4956825821663559,-0.5711237553342817,0.040404999999999996,0.06406874999999998,0.07913875000000001,0.23470625,0.31126625,0.17200625,8.879711836228854,-75.9356240291999,"{""type"":""Point"",""coordinates"":[-75.93560254293216,8.879819506502036]}"
3069,42.68526521000004,0.04903272441364271,0.55,-0.586923245134485,0.05088249999999998,0.07319875,0.08164125,0.28120875,0.3102075,0.1788675,8.692952088660403,-76.09112240488099,"{""type"":""Point"",""coordinates"":[-76.09113799624899,8.693078522596522]}"
3070,42.11616488000004,-0.21211109082929744,0.7645116607773853,-0.6837760849392521,0.03204499999999999,0.07326749999999999,0.05206499999999997,0.3901225,0.253585,0.12175000000000002,8.782424290958708,-75.61896789154777,"{""type"":""Point"",""coordinates"":[-75.61902897109388,8.782393354760613]}"
3071,39.200593819999995,-0.13718299976611303,0.7137444218556259,-0.6634165414268781,0.03163250000000001,0.06886750000000003,0.05685000000000001,0.34034749999999997,0.25823250000000003,0.12711250000000002,9.240565085859664,-75.58447258463758,"{""type"":""Point"",""coordinates"":[-75.58435413044916,9.240495009666382]}"
3072,31.83476072000002,-0.2699081483205789,0.7257128697472236,-0.6997382797083689,0.032251249999999995,0.07227750000000002,0.06503125000000001,0.40915250000000003,0.23522875,0.124885,9.271287468576553,-75.9671548956725,"{""type"":""Point"",""coordinates"":[-75.96719496528523,9.27140458602796]}"
3073,43.64401982000004,-0.06011443574047914,0.6647471375114837,-0.6771484683627171,0.032594999999999985,0.05363249999999997,0.05610749999999998,0.27861,0.24701250000000002,0.12301499999999999,8.912859670212864,-75.91271698945485,"{""type"":""Point"",""coordinates"":[-75.91268622519902,8.912923210999828]}"
3074,39.983320400000025,-0.1587620687479154,0.7296722668155854,-0.6840546861181896,0.028249999999999997,0.060287499999999994,0.0502225,0.32134500000000005,0.23329,0.10610249999999999,8.870279525745598,-75.91298648404009,"{""type"":""Point"",""coordinates"":[-75.91305320370266,8.870376948438734]}"
3075,38.838283700000034,-0.36263307310149046,0.8316638046174395,-0.7702427808287855,0.02437249999999999,0.04983750000000001,0.03528999999999999,0.38399,0.17961,0.07851999999999998,8.827429886693096,-75.84183991353781,"{""type"":""Point"",""coordinates"":[-75.84188280713494,8.827336269255099]}"
3076,38.05384811000005,-0.11317680358470196,0.6785643045533557,-0.6637303114084775,0.028717499999999993,0.06697,0.06345,0.33134125,0.26396625,0.14438250000000002,9.19151707134674,-76.00084171882698,"{""type"":""Point"",""coordinates"":[-76.00090667285286,9.191423869214315]}"
3077,39.24502808,-0.35721981352589643,0.8437626610485374,-0.7329353972696636,0.024510000000000004,0.07013249999999999,0.0385625,0.45507749999999997,0.21552500000000002,0.08817249999999999,8.954900825509657,-75.55132475065356,"{""type"":""Point"",""coordinates"":[-75.55130156001925,8.95500057113571]}"
3078,36.50719406000002,-0.2844625782448209,0.7843326146459317,-0.7185229548757021,0.034877500000000006,0.07167249999999997,0.05288999999999999,0.43758749999999996,0.24376750000000003,0.12353750000000002,9.146241981027115,-75.61384749442828,"{""type"":""Point"",""coordinates"":[-75.61384521771797,9.146119300625942]}"
